id,title,tags,ssc_status,drwg_status,photo_file,x_px,y_px,phase,designation,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
1,Electrical Box,Electrical ,Can Stay,Keep,IMG_0001.jpg,4434,2143,Phase 3,,,,,
2,Storm Outlet,Electrical/Utility,Can Stay,Keep,IMG_0002.jpg,4388,2115,Phase 3,,,,,
3,Irrigation Water Ground Outlet,Utility,Can Stay,Keep,IMG_0003.jpg,4408,2045,Phase 3,V,,,,
4,Water Meters/Storm Outlet,Utility,Can Stay,Keep,IMG_0004.jpg,4384,2042,Phase 3,,,,,
5,Electrical Box,Electrical,Can Stay,Keep,IMG_0005.jpg,4382,2092,Phase 3,,,,,
6,Ford Meter Box,Utility,Can Stay,Keep,IMG_0006.JPG,4335,2080,Phase 3,,,,,
7,Electrical Panels - Guard Shack,Electrical,Can Stay,Keep,IMG_0007.JPG,4291,2149,Phase 3,THW,,,,
8,Fire hydrant ,Utility,Can Stay,Keep,IMG_0008.JPG,4313,2114,Phase 3,,,,,
9,Landscape Light,Light,Can Stay,Keep,IMG_0009.JPG,4297,2083,Phase 3,,,,,
10,Landscape Light,Light,Can Stay,Keep,IMG_0010.JPG,4270,2069,Phase 3,,,,,
11,Landscape Light,Light,Can Stay,Keep,IMG_0011.JPG,4255,2053,Phase 3,,,,,
12,Light Pole,Light,Can Stay,Keep,IMG_0012.JPG,4201,2026,Phase 3,,,,,
13,Light Pole,Light,Can Stay,Keep,IMG_0013.JPG,4204,1921,Phase 1b,,,,,
14,Light Pole,Light,Can Stay,Keep,IMG_0014.JPG,4212,1795,Phase 1b,,,,,
15,Landscape Light,Light,Can Stay,Keep,IMG_0015.JPG,4247,1747,Phase 1b,,,,,
16,Lanscape Light,Light,Can Stay,Keep,IMG_0016.JPG,4260,1723,Phase 1b,,,,,
17,Landscape Light,Light,Can Stay ,Keep,IMG_0017.JPG,4283,1703,Phase 1b,,,,,
18,Concrete Swale,Utility,Can Stay ,Keep,IMG_0018.JPG,4386,1704,Phase 1b,,,,,
19,Irrigation Rain Bird,Utility,Can Stay,Keep,IMG_0019.JPG,4324,1649,Phase 1b,V,,,,
20,Marquette Rock,Special Feature,Can Stay,Keep,IMG_0020.JPG,4331,1541,Phase 1b,MQ,,,,
21,Electrical Lines/Box,Electrical,Can Stay,Keep,IMG_0021.JPG,4416,1442,Phase 1b,,,,,
22,New Oasis Electrical Box,Electrical,Can Stay,Keep,IMG_0022.JPG,4143,1767,Phase 1b,,,,,
23,Landscape Light,Light,Can Stay,Keep,IMG_0023.JPG,4105,1768,Phase 1b,,,,,
24,Man Gate Call Box,Electrical,Can Stay ,Keep,IMG_0024.JPG,3980,1768,Phase 1b,,,,,
25,Entry Gate,Special Feature,Can Stay,Keep,IMG_0025.JPG,3951,1772,Phase 1b,MQ,,,,
26,Curb Inlet,Utility,Can Stay,Keep,IMG_0026.JPG,4041,1798,Phase 1b,,,,,
27,Curb Inlet,Utility,Can Stay,Keep,IMG_0027.JPG,4142,2013,Phase 3,,,,,
28,Sanitary Manhole,Utility,Can Stay,Keep,IMG_0028.JPG,4074,2007,Phase 3,,,,,
29,Electrical Bollard,Electrical,Must Go,Keep,IMG_0029.JPG,3879,2419,Phase 3,THW,,,,
30,Storm Drain,Utility,Must Go,Remove,IMG_0030.JPG,3825,2093,Phase 3,,,,,
31,Water Valve,Utility,Can Stay,Keep,IMG_0031.JPG,3763,2055,Phase 3,,,,,
32,Telephone Handhole,Electrical,Must Go,Remove,IMG_0032.JPG,3757,2069,Phase 3,,,,,
33,Light Pole,Light,Can Stay,Keep,IMG_0033.JPG,3736,1928,Phase 1b,,,,,
34,Storm Drain,Utility,Can Stay,Not Noted,IMG_0034.JPG,3616,2003,Phase 3,,,,,
35,Light Pole,Light,Can Stay,Keep,IMG_0035.JPG,3416,1936,Phase 1b,,,,,
36,Storm Drain,Utility,Must Go,Remove,IMG_0036.JPG,3390,2098,Phase 3,,,,,
37,Water Valve,Utility,Can Stay,Keep,IMG_0037.JPG,3245,2073,Phase 3,,,,,
38,Curb Intlet,Utility,Can Stay,Keep,IMG_0038.JPG,3200,2044,Phase 3,,,,,
39,Light Pole,Light,Can Stay,Keep,IMG_0039.JPG,3098,1986,Phase 1b,,,,,
40,Curb Inlet,Utility,Can Stay,Keep,IMG_0040.JPG,2857,2081,Phase 3,,,,,
41,Telephone Handhole,Electrical,Must Go,Remove,IMG_0041.JPG,2851,2183,Phase 3,,,,,
42,Electrical Bollard and Pole,Electrical,Must Go,Not Noted,IMG_0042.JPG,2746,2459,Phase 3,THW,,,,
43,Storm Drain,Utlity,Must Go,Remove,IMG_0043.JPG,2810,2108,Phase 3,,,,,
44,Light Pole,Light,Must Go,Remove,IMG_0044.JPG,2824,2018,Phase 1b,,,,,
45,Man Hole,Utility,Can Stay,Keep,IMG_0045.JPG,2772,2037,Phase 3,,,,,
50,Digital Speed Limit Sign,Electrical,Must Go,Remove,IMG_0050.JPG,2776,2016,Phase 1b,MQ,,,,
51,Light Pole,Light,Must Go,Remove,IMG_0051.JPG,2407,2009,Phase 3,MQ,,,,
52,Storm Drain,Utility,Must Go,Remove,IMG_0052.JPG,2462,2046,Phase 3,,,,,
53,Electrical Box,Electrical,Must Go,Not Noted,IMG_0053.JPG,2310,2023,Phase 3,THW,,,,
54,Light Pole,Light,Must Go,Remove,IMG_0054.JPG,2261,2068,Phase 3,,,,,
55,Fire Hydrant and Water Line,Utility,Can Stay,Keep,IMG_0055.JPG,2128,2021,Phase 3,,,,,
56,Storm Inlet ,Utility,Can Stay,Keep,IMG_0056.JPG,2131,1998,Phase 3,,,,,
57,Carson Electrical Box,Electrical,Can Stay,Not Noted,IMG_0057.JPG,1985,1993,Phase 3,,,,,
58,Landscape Light,Light,Must Go,Not Noted,IMG_0058.JPG,2112,1873,Phase 3,,,,,
59,Light Bollard,Light,Can Stay,Keep,IMG_0059.JPG,2087,1848,Phase 3,,,,,
60,Landscape Light,Light,Can Stay,Not Noted,IMG_0060.JPG,2041,1807,Phase 3,,,,,
61,Light Bollard,Light,Can Stay,Not Noted,IMG_0061.JPG,1916,1686,Phase 3,,,,,
62,Landscape Light,Light,Can Stay,Not Noted,IMG_0062.JPG,1883,1654,Phase 3,,,,,
63,Landscape Light & Light Bollard,Light,Can Stay,Not Noted,IMG_0063.JPG,1884,1631,Phase 3,,,,,
64,Light Bollard,Light,Can Stay,Not Noted,IMG_0064.JPG,1941,1855,Phase 3,,,,,
65,Curb Inlet,Utility,Can Stay,Not Noted,IMG_0065.JPG,1857,1730,Phase 3,,,,,
66,Light Bollard,Light,Can Stay,Not Noted,IMG_0066.JPG,1889,1802,Phase 3,,,,,
67,Light Bollard,Light,Can Stay ,Not Noted,IMG_0067.JPG,1788,1704,Phase 3,,,,,
68,Light Bollard,Light,Can Stay ,Not Noted,IMG_0068.JPG,1720,1638,Phase 3,,,,,
69,Light Bollard,Light,Can Stay,Not Noted,IMG_0069.JPG,1674,1588,Phase 3,,,,,
70,Light Bollard,Light,Can Stay,Not Noted,IMG_0070.JPG,1623,1538,Phase 3,,,,,
71,Bench,Site Furnishing,Can Stay,Not Noted,IMG_0071.JPG,1629,1407,Phase 3,MQ,,,,
72,Light Bollard,Light,Can Stay,Not Noted,IMG_0072.JPG,1660,1482,Phase 3,,,,,
